model_type,frac,val_auprc_mean_mean,val_auprc_mean_std
Soft_Clip_with_Frozen_Teacher,1,0.50489741563797,0.009589921283737998
Soft_Clip_with_Frozen_Teacher,5,0.5642897685368856,0.011802851628106856
Soft_Clip_with_Frozen_Teacher,10,0.5863739053408304,0.02604617099090127
Soft_Clip_with_Frozen_Teacher,25,0.6210433046023051,0.025186935937761015
Soft_Clip_with_Frozen_Teacher,50,0.633755107720693,0.0323468095091662
Soft_Clip_with_Teacher,1,0.5041263103485107,0.01042442383613771
Soft_Clip_with_Teacher,5,0.5723046461741129,0.014445250109638796
Soft_Clip_with_Teacher,10,0.588546633720398,0.02301998070484936
Soft_Clip_with_Teacher,25,0.6223056117693583,0.021891083949574223
Soft_Clip_with_Teacher,50,0.6390158534049988,0.027799399719408074
Soft_Clip_with_Teacher_with_centering,1,0.5076346894105276,0.008379547517943571
Soft_Clip_with_Teacher_with_centering,5,0.5691287318865458,0.02026377349113937
Soft_Clip_with_Teacher_with_centering,10,0.5889129042625427,0.029672916569500295
Soft_Clip_with_Teacher_with_centering,25,0.6145434776941935,0.020437470059004745
Soft_Clip_with_Teacher_with_centering,50,0.6358531514803568,0.031560925823146756
Vanilla_Clip_with_VAE,1,0.5009026626745859,0.015193948288155668
Vanilla_Clip_with_VAE,5,0.5605938037236532,0.010380288018321507
Vanilla_Clip_with_VAE,10,0.5809310674667358,0.028605311972981533
Vanilla_Clip_with_VAE,25,0.6202443242073059,0.016109504047374445
Vanilla_Clip_with_VAE,50,0.6512479980786642,0.030698288796032043
Vanilla_Clip_with_VAE,100,0.7266086935997009,0.0
Vanilla_Clip_without_VAE,1,0.501017818848292,0.016233053190975382
Vanilla_Clip_without_VAE,5,0.571434497833252,0.012588160374024892
Vanilla_Clip_without_VAE,10,0.5797977447509766,0.0365895053732227
Vanilla_Clip_without_VAE,25,0.6226836244265238,0.021531892092958776
Vanilla_Clip_without_VAE,50,0.644255538781484,0.039180602297117964
Vanilla_Clip_without_VAE,100,0.7241815328598022,0.0
