model_type,seed,LR,val_ECE_mean,val_auprc_mean,val_auroc_mean,val_average_precision_mean,val_balanced_accuracy_mean,val_cohen_kappa_mean,val_enrichment_factor_mean,val_f1_mean,val_loss,val_mcc_mean,val_optimal_threshold_mean,val_ppv_mean,val_precision_mean,val_recall_mean,val_sensitivity_mean,val_specificity_mean,val_supervised_loss
Soft_Clip_with_Frozen_Teacher,0,5e-05,0.44636255502700806,0.4866349697113037,0.6783124804496765,0.4866349697113037,0.6384311318397522,0.21352313458919525,1.2948402166366577,0.5438596606254578,1.2382569313049316,0.26816463470458984,0.7598750591278076,0.4025973975658417,0.4025973975658417,0.837837815284729,0.837837815284729,0.4390243887901306,1.2382569313049316
Soft_Clip_with_Frozen_Teacher,1,5e-05,0.47914862632751465,0.4575228989124298,0.6710612773895264,0.4575228989124298,0.6514502167701721,0.25552621483802795,1.4006102085113525,0.5454545617103577,1.3436088562011719,0.2806560695171356,0.8241653442382812,0.4354838728904724,0.4354838728904724,0.7297297120094299,0.7297297120094299,0.5731707215309143,1.3436088562011719
Soft_Clip_with_Frozen_Teacher,2,5e-05,0.4457171857357025,0.5669384598731995,0.7468688488006592,0.5669384598731995,0.6853988170623779,0.33819329738616943,1.6081080436706543,0.5747126340866089,1.201714277267456,0.34772440791130066,0.8791083097457886,0.5,0.5,0.6756756901741028,0.6756756901741028,0.6951219439506531,1.201714277267456
Soft_Clip_with_Teacher,0,5e-05,0.46607887744903564,0.3484637439250946,0.6058009266853333,0.3484637439250946,0.6445286870002747,0.22421066462993622,1.3118776082992554,0.5486725568771362,1.3804386854171753,0.27851641178131104,0.7566195130348206,0.40789473056793213,0.40789473056793213,0.837837815284729,0.837837815284729,0.45121949911117554,1.3804386854171753
Soft_Clip_with_Teacher,1,5e-05,0.4679792523384094,0.4803212583065033,0.6671061515808105,0.4803212583065033,0.6244232058525085,0.21258622407913208,1.340090036392212,0.5154638886451721,1.453649878501892,0.23037615418434143,0.9052180647850037,0.4166666567325592,0.4166666567325592,0.6756756901741028,0.6756756901741028,0.5731707215309143,1.453649878501892
Soft_Clip_with_Teacher,2,5e-05,0.4673581123352051,0.5880475640296936,0.7458800077438354,0.5880475640296936,0.6816084384918213,0.2664088010787964,1.346323013305664,0.5853658318519592,1.2503730058670044,0.375549852848053,0.6925037503242493,0.41860464215278625,0.41860464215278625,0.9729729890823364,0.9729729890823364,0.39024388790130615,1.2503730058670044
Soft_Clip_with_Teacher_with_centering,0,5e-05,0.4602164626121521,0.41365113854408264,0.6555702090263367,0.41365113854408264,0.6763348579406738,0.2767360806465149,1.390796184539795,0.5765765905380249,1.2963110208511353,0.33663082122802734,0.8226874470710754,0.4324324429035187,0.4324324429035187,0.8648648858070374,0.8648648858070374,0.4878048896789551,1.2963110208511353
Soft_Clip_with_Teacher_with_centering,1,5e-05,0.4844357669353485,0.4429391920566559,0.694462776184082,0.4429391920566559,0.6824324131011963,0.2879812717437744,1.4098480939865112,0.581818163394928,1.4510477781295776,0.3468163013458252,0.8290227651596069,0.4383561611175537,0.4383561611175537,0.8648648858070374,0.8648648858070374,0.5,1.4510477781295776
Soft_Clip_with_Teacher_with_centering,2,5e-05,0.47020334005355835,0.49831974506378174,0.7162162065505981,0.49831974506378174,0.6789716482162476,0.2713982164859772,1.366891860961914,0.5811966061592102,1.2834830284118652,0.35297563672065735,0.7291369438171387,0.42500001192092896,0.42500001192092896,0.9189189076423645,0.9189189076423645,0.4390243887901306,1.2834830284118652
Vanilla_Clip_with_VAE,0,5e-05,0.409044086933136,0.5256853103637695,0.7692814469337463,0.5256853103637695,0.7460448145866394,0.39770910143852234,1.5848021507263184,0.6415094137191772,1.0581650733947754,0.4614689350128174,0.8012263774871826,0.49275362491607666,0.49275362491607666,0.9189189076423645,0.9189189076423645,0.5731707215309143,1.0581650733947754
Vanilla_Clip_with_VAE,1,5e-05,0.4437558352947235,0.47653502225875854,0.7109426259994507,0.47653502225875854,0.673203706741333,0.31173068284988403,1.546257734298706,0.5617977380752563,1.2147843837738037,0.32326290011405945,0.8843845725059509,0.48076921701431274,0.48076921701431274,0.6756756901741028,0.6756756901741028,0.6707317233085632,1.2147843837738037
Vanilla_Clip_with_VAE,2,5e-05,0.44738641381263733,0.4977964460849762,0.7528015971183777,0.4977964460849762,0.7407712340354919,0.41934558749198914,1.692745327949524,0.6382978558540344,1.2073848247528076,0.44617903232574463,0.8686572909355164,0.5263158082962036,0.5263158082962036,0.8108108043670654,0.8108108043670654,0.6707317233085632,1.2073848247528076
Vanilla_Clip_without_VAE,0,5e-05,0.4477582275867462,0.47979462146759033,0.6855636239051819,0.47979462146759033,0.6755108833312988,0.25607118010520935,1.3308480978012085,0.5806451439857483,1.2139437198638916,0.3664436638355255,0.6627885699272156,0.4137931168079376,0.4137931168079376,0.9729729890823364,0.9729729890823364,0.37804877758026123,1.2139437198638916
Vanilla_Clip_without_VAE,1,5e-05,0.40941378474235535,0.5063159465789795,0.7326961159706116,0.5063159465789795,0.7394528388977051,0.4252890348434448,1.7272272109985352,0.6373626589775085,1.0741196870803833,0.44525036215782166,0.8252999782562256,0.5370370149612427,0.5370370149612427,0.7837837934494019,0.7837837934494019,0.6951219439506531,1.0741196870803833
Vanilla_Clip_without_VAE,2,5e-05,0.43891021609306335,0.5179721117019653,0.7198417782783508,0.5179721117019653,0.6840804219245911,0.3427431583404541,1.6423231363296509,0.5714285969734192,1.1604690551757812,0.3486022651195526,0.8877021670341492,0.5106382966041565,0.5106382966041565,0.6486486196517944,0.6486486196517944,0.7195122241973877,1.1604690551757812
