category,model,layer,roc_auc_macro_ovr,balanced_accuracy,kappa_linear,kappa_quadratic,spearman_r,mae,adjacent_accuracy,f1_macro
Baseline,ChemBERTa-MLM,N/A,0.6307,0.4571,0.2047,0.238,0.2936,0.705,0.8481,0.439
Baseline,ChemBERTa-MTR,N/A,0.6211,0.4474,0.1868,0.2132,0.253,0.7127,0.8467,0.4317
Baseline,ECFP_1024_2,N/A,0.658,0.488,0.266,0.3106,0.3456,0.6294,0.88,0.4767
Baseline,MoLFormer-XL-both-10pct,N/A,0.6255,0.4361,0.1966,0.2468,0.3064,0.7154,0.8563,0.4159
Comparison,Vanilla_Clip_VAE,GNN,0.6523,0.4832,0.2362,0.2686,0.3161,0.6816,0.8529,0.4579
Comparison,Vanilla_Clip_VAE,first_fc,0.6603,0.477,0.2502,0.3032,0.3599,0.6495,0.881,0.461
Comparison,Vanilla_Clip_VAE,second_fc,0.6443,0.4743,0.2241,0.2522,0.2928,0.6723,0.859,0.4595
Comparison,Vanilla_Clip_noVAE,GNN,0.6522,0.4811,0.2346,0.2629,0.3179,0.6842,0.849,0.4587
Comparison,Vanilla_Clip_noVAE,first_fc,0.6662,0.4827,0.2556,0.3061,0.3643,0.6451,0.8801,0.4668
Comparison,Vanilla_Clip_noVAE,second_fc,0.6425,0.4722,0.2204,0.2469,0.2795,0.6732,0.8588,0.4588
Your Models,Soft_Clip_Frozen_Teacher,GNN,0.6423,0.4738,0.2276,0.2597,0.3062,0.6911,0.8492,0.4517
Your Models,Soft_Clip_Frozen_Teacher,first_fc,0.6524,0.4706,0.2407,0.2845,0.3454,0.6493,0.8786,0.4604
Your Models,Soft_Clip_Frozen_Teacher,second_fc,0.6336,0.4609,0.2178,0.258,0.3017,0.685,0.8597,0.4434
Your Models,Soft_Clip_Teacher,GNN,0.646,0.4685,0.2258,0.2624,0.3114,0.6922,0.8518,0.4462
Your Models,Soft_Clip_Teacher,first_fc,0.6559,0.4698,0.24,0.2862,0.3502,0.6516,0.8792,0.4583
Your Models,Soft_Clip_Teacher,second_fc,0.6301,0.4602,0.2069,0.235,0.2815,0.6871,0.8541,0.4466
Your Models,Soft_Clip_Teacher_Centering,GNN,0.6406,0.4729,0.2304,0.2664,0.3053,0.6858,0.8539,0.4518
Your Models,Soft_Clip_Teacher_Centering,first_fc,0.6538,0.4699,0.2375,0.2776,0.3401,0.6532,0.8739,0.4598
Your Models,Soft_Clip_Teacher_Centering,second_fc,0.633,0.4583,0.2149,0.2548,0.3054,0.6847,0.861,0.4431
